month;emae
ene-94;0.0865610
feb-94;0.0777710
mar-94;0.0670970
abr-94;0.0656020
may-94;0.0705400
jun-94;0.0572600
jul-94;0.0366270
ago-94;0.0540370
sep-94;0.0431940
oct-94;0.0495990
nov-94;0.0513080
dic-94;0.0485000
ene-95;-0.0027890
feb-95;0.0535160
mar-95;0.0158620
abr-95;-0.0579120
may-95;-0.0252060
jun-95;-0.0263170
jul-95;-0.0235450
ago-95;-0.0470910
sep-95;-0.0622630
oct-95;-0.0336820
nov-95;-0.0489710
dic-95;-0.0667760
ene-96;-0.0111290
feb-96;0.0065340
mar-96;-0.0122750
abr-96;0.0706060
may-96;0.0484310
jun-96;0.0344910
jul-96;0.0946810
ago-96;0.0861200
sep-96;0.0659450
oct-96;0.1002140
nov-96;0.0755470
dic-96;0.1014400
ene-97;0.1166660
feb-97;0.0788280
mar-97;0.0600080
abr-97;0.1096430
may-97;0.0593380
jun-97;0.0734860
jul-97;0.0672290
ago-97;0.0597550
sep-97;0.1255830
oct-97;0.0832080
nov-97;0.0675800
dic-97;0.0795260
ene-98;0.0353150
feb-98;0.0450110
mar-98;0.0951580
abr-98;0.0427670
may-98;0.0659780
jun-98;0.0996320
jul-98;0.0445440
ago-98;0.0381150
sep-98;0.0148980
oct-98;-0.0075020
nov-98;0.0072870
dic-98;-0.0126860
ene-99;-0.0341170
feb-99;-0.0184900
mar-99;-0.0216980
abr-99;-0.0450600
may-99;-0.0460580
jun-99;-0.0562430
jul-99;-0.0707400
ago-99;-0.0386760
sep-99;-0.0417550
oct-99;-0.0421820
nov-99;-0.0098320
dic-99;0.0237620
ene-00;-0.0075550
feb-00;0.0085650
mar-00;-0.0058640
abr-00;-0.0151550
may-00;0.0081250
jun-00;-0.0050070
jul-00;0.0048840
ago-00;-0.0013150
sep-00;-0.0218980
oct-00;-0.0094420
nov-00;-0.0270460
dic-00;-0.0209980
ene-01;0.0047800
feb-01;-0.0292210
mar-01;-0.0334100
abr-01;-0.0011390
may-01;0.0054300
jun-01;-0.0095490
jul-01;-0.0282610
ago-01;-0.0447370
sep-01;-0.0754770
oct-01;-0.0762400
nov-01;-0.0871080
dic-01;-0.1499150
ene-02;-0.1648770
feb-02;-0.1576640
mar-02;-0.1671540
abr-02;-0.1356490
may-02;-0.1322900
jun-02;-0.1375440
jul-02;-0.1046990
