especie,ultimo,variacion,anterior,apertura,minimo,maximo,varMTD,varYTD,var6M,var12M,fecha,hora,cierre,timestamp,volumen
MERVAL USD,599.759,,,599.759,599.759,599.759,,,,,2010-02-22,,599.759,1266807600,0
MERVAL USD,565.01,,,565.01,565.01,565.01,,,,,2010-02-26,,565.01,1267153200,0
MERVAL USD,595.657,,,595.657,595.657,595.657,,,,,2010-03-09,,595.657,1268103600,0
MERVAL USD,605.878,,,605.878,605.878,605.878,,,,,2010-03-12,,605.878,1268362800,0
MERVAL USD,608.423,,,608.423,608.423,608.423,,,,,2010-03-16,,608.423,1268708400,0
MERVAL USD,607.675,,,607.675,607.675,607.675,,,,,2010-03-17,,607.675,1268794800,0
MERVAL USD,625.954,,,625.954,625.954,625.954,,,,,2010-03-25,,625.954,1269486000,0
MERVAL USD,642.623,,,642.623,642.623,642.623,,,,,2010-04-09,,642.623,1270782000,0
MERVAL USD,637.536,,,637.536,637.536,637.536,,,,,2010-04-12,,637.536,1271041200,0
MERVAL USD,637.396,,,637.396,637.396,637.396,,,,,2010-04-13,,637.396,1271127600,0
MERVAL USD,625.714,,,625.714,625.714,625.714,,,,,2010-04-19,,625.714,1271646000,0
MERVAL USD,615.95,,,615.95,615.95,615.95,,,,,2010-04-27,,615.95,1272337200,0
MERVAL USD,616.294,,,616.294,616.294,616.294,,,,,2010-05-03,,616.294,1272855600,0
MERVAL USD,599.738,,,599.738,599.738,599.738,,,,,2010-05-04,,599.738,1272942000,0
MERVAL USD,580.739,,,580.739,580.739,580.739,,,,,2010-05-05,,580.739,1273028400,0
MERVAL USD,586.118,,,586.118,586.118,586.118,,,,,2010-05-10,,586.118,1273460400,0
MERVAL USD,588.866,,,588.866,588.866,588.866,,,,,2010-05-11,,588.866,1273546800,0
MERVAL USD,555.497,,,555.497,555.497,555.497,,,,,2010-06-09,,555.497,1276052400,0
MERVAL USD,554.364,,,554.364,554.364,554.364,,,,,2010-07-01,,554.364,1277953200,0
MERVAL USD,561.663,,,561.663,561.663,561.663,,,,,2010-07-06,,561.663,1278385200,0
MERVAL USD,586.512,,,586.512,586.512,586.512,,,,,2010-07-14,,586.512,1279076400,0
MERVAL USD,604.798,,,604.798,604.798,604.798,,,,,2010-07-23,,604.798,1279854000,0
MERVAL USD,610.084,,,610.084,610.084,610.084,,,,,2010-07-26,,610.084,1280113200,0
MERVAL USD,608.942,,,608.942,608.942,608.942,,,,,2010-07-27,,608.942,1280199600,0
