q;gdp;recession
I.90;301.938;0
II.90;331.531;0
III.90;346.549;0
IV.90;363.443;0
I.91;325.098;1
II.91;368.721;0
III.91;377.049;0
IV.91;395.293;0
I.92;363.101;1
II.92;408.614;0
III.92;405.035;0
IV.92;405.784;0
I.93;391.657;1
II.93;437.818;0
III.93;439.218;0
IV.93;443.720;0
I.94;421.660;1
II.94;466.065;0
III.94;458.808;0
IV.94;465.820;0
I.95;430.752;1
II.95;449.080;0
III.95;438.438;0
IV.95;442.517;0
I.96;428.214;1
II.96;471.993;0
III.96;474.555;0
IV.96;483.339;0
I.97;464.094;1
II.97;510.038;0
III.97;514.242;0
IV.97;520.438;0
I.98;491.815;1
II.98;545.223;0
III.98;530.937;0
IV.98;518.180;1
I.99;479.727;1
II.99;518.442;0
III.99;504.070;0
IV.99;513.290;0
I.00;478.879;1
II.00;516.383;0
III.00;500.984;0
IV.00;503.380;0
I.01;469.184;1
II.01;515.515;0
III.01;476.291;0
IV.01;450.476;1
I.02;392.524;1
II.02;445.860;0
III.02;429.754;0
IV.02;435.084;0
I.03;413.787;1
II.03;480.411;0
III.03;473.410;0
IV.03;486.128;0
I.04;460.369;1
II.04;514.396;0
III.04;481.152;0
IV.04;484.544;0
I.05;493.603;0
II.05;581.668;0
III.05;514.698;0
IV.05;522.255;0
I.06;532.348;0
II.06;614.076;0
III.06;562.979;0
IV.06;572.794;0
I.07;576.847;0
II.07;674.621;0
III.07;610.426;0
IV.07;625.877;0
I.08;616.720;0
II.08;711.406;0
III.08;647.088;0
IV.08;613.491;1
I.09;578.553;1
II.09;631.198;0
III.09;610.520;0
IV.09;615.221;0
I.10;611.607;0
II.10;733.731;0
III.10;668.567;0
IV.10;668.190;1
I.11;662.326;1
II.11;766.333;0
III.11;711.417;0
IV.11;703.050;1
I.12;672.686;1
II.12;730.838;0
III.12;703.462;0
IV.12;706.958;0
I.13;677.086;1
II.13;776.487;0
III.13;721.459;0
IV.13;706.597;1
I.14;671.066;1
II.14;760.577;0
III.14;690.880;0
IV.14;686.701;1
I.15;672.750;1
II.15;791.236;0
III.15;718.281;0
IV.15;703.682;1
I.16;677.652;1
II.16;760.703;0
III.16;694.382;0
IV.16;693.174;1
I.17;681.445;1
II.17;778.402;0
III.17;721.120;0
IV.17;724.593;0
I.18;707.231;1
II.18;747.420;0
III.18;696.471;1
IV.18;679.900;1
I.19;665.471;1
II.19;750.204;0
III.19;683.793;0
IV.19;672.442;1
I.20;630.971;1
II.20;607.869;1
III.20;614.795;0
IV.20;643.710;0
