year;gdp;recession
1944;110627;0
1945;107075;1
1946;116636;0
1947;129610;0
1948;136711;0
1949;134938;1
1950;136575;0
1951;141885;0
1952;134744;1
1953;141885;0
1954;147742;0
1955;158178;0
1956;162572;0
1957;170994;0
1958;181430;0
1959;169711;1
1960;183077;0
1961;196075;0
1962;192963;1
1963;188386;1
1964;207792;0
1965;226832;0
1966;228296;0
1967;234338;0
1968;244407;0
1969;265277;0
1970;279558;0
1971;290075;0
1972;296100;0
1973;307190;0
1974;323796;0
1975;321874;1
1976;321836;1
1977;342389;0
1978;331356;1
1979;354340;0
1980;359762;0
1981;340255;1
1982;329507;1
1983;343059;0
1984;349921;0
1985;325596;1
1986;348839;0
1987;357876;0
1988;351091;1
1989;326741;1
1990;320759;1
1991;354691;0
1992;388767;0
1993;411018;0
1994;435006;0
1995;422629;1
1996;445987;0
1997;482161;0
1998;500725;0
1999;483773;1
2000;479956;1
2001;458796;1
2002;408812;1
2003;444939;0
2004;485115;0
2005;528056;0
2006;570549;0
2007;621943;0
2008;647176;0
2009;608873;1
2010;670524;0
2011;710782;0
2012;703486;1
2013;720407;0
2014;702306;1
2015;721487;0
2016;706478;1
2017;726390;0
2018;707755;1
2019;692977;1
2020;624336;1
